,Customer ID,Customer_gender,Customer_age,Income (USD/Month),Transaction ID,Payment_Mode,Company,City,KM Travelled,Price Charged,Cost of Trip,City_population,Users in City,month,Year,Day,Week of Travel,Date,Cost/km
0,29290,Male,28,10813,10000011,Card,Pink Cab,ATLANTA GA,30.45,370.95,313.635," 814,885 "," 24,701 ",January,2016,Friday,1,8,11.241133004926109
1,27703,Male,27,9237,10000012,Card,Pink Cab,ATLANTA GA,28.62,358.52,334.854," 814,885 "," 24,701 ",January,2016,Wednesday,1,6,12.11345213137666
2,28712,Male,53,11242,10000013,Cash,Pink Cab,ATLANTA GA,9.04,125.2,97.632," 814,885 "," 24,701 ",January,2016,Saturday,53,2,12.324778761061948
3,28020,Male,23,23327,10000014,Cash,Pink Cab,ATLANTA GA,33.17,377.4,351.602," 814,885 "," 24,701 ",January,2016,Thursday,1,7,10.988875489900511
4,27182,Male,33,8536,10000015,Card,Pink Cab,ATLANTA GA,8.73,114.62,97.776," 814,885 "," 24,701 ",January,2016,Sunday,53,3,12.164719358533791
5,27318,Male,25,13984,10000016,Cash,Pink Cab,ATLANTA GA,6.06,72.43,63.024," 814,885 "," 24,701 ",January,2016,Thursday,1,7,11.176072607260727
6,27602,Male,23,8542,10000384,Card,Yellow Cab,ATLANTA GA,33.93,1341.17,464.1624," 814,885 "," 24,701 ",January,2016,Saturday,53,2,26.603778367226642
7,27594,Male,28,3901,10000385,Cash,Yellow Cab,ATLANTA GA,42.18,1412.06,516.2832," 814,885 "," 24,701 ",January,2016,Saturday,1,9,22.85850165955429
8,27884,Male,32,13505,10000386,Cash,Yellow Cab,ATLANTA GA,10.6,364.62,132.288," 814,885 "," 24,701 ",January,2016,Sunday,53,3,23.439056603773587
9,28533,Male,39,28386,10000387,Cash,Yellow Cab,ATLANTA GA,26.75,838.0,333.84," 814,885 "," 24,701 ",January,2016,Wednesday,1,6,21.90355140186916
10,29039,Male,35,17761,10000388,Card,Yellow Cab,ATLANTA GA,46.02,1540.61,596.4192," 814,885 "," 24,701 ",January,2016,Thursday,1,7,23.218483268144283
11,28102,Male,39,14181,10000389,Card,Yellow Cab,ATLANTA GA,9.63,319.43,120.1824," 814,885 "," 24,701 ",January,2016,Thursday,1,7,22.825150571131875
12,29494,Male,28,5644,10000390,Card,Yellow Cab,ATLANTA GA,36.3,1036.84,435.6," 814,885 "," 24,701 ",January,2016,Tuesday,1,5,20.281542699724522
13,27891,Male,24,14593,10000391,Cash,Yellow Cab,ATLANTA GA,38.08,1239.72,539.2128," 814,885 "," 24,701 ",January,2016,Saturday,1,9,23.357836134453784
14,29651,Male,23,2175,10000392,Card,Yellow Cab,ATLANTA GA,27.37,976.37,394.128," 814,885 "," 24,701 ",January,2016,Saturday,53,2,25.03649981731823
15,27440,Male,24,20462,10000393,Cash,Yellow Cab,ATLANTA GA,2.14,76.6,29.7888," 814,885 "," 24,701 ",January,2016,Sunday,53,3,24.85719626168224
16,29599,Male,27,12948,10000394,Cash,Yellow Cab,ATLANTA GA,15.0,483.73,198.0," 814,885 "," 24,701 ",January,2016,Monday,2,11,22.724333333333334
17,27228,Male,24,15170,10000395,Cash,Yellow Cab,ATLANTA GA,11.44,360.49,142.7712," 814,885 "," 24,701 ",January,2016,Sunday,53,3,21.995681818181822
18,27705,Male,61,5002,10000396,Card,Yellow Cab,ATLANTA GA,24.75,924.94,305.91," 814,885 "," 24,701 ",January,2016,Sunday,53,3,24.86565656565657
19,29009,Male,28,15771,10000397,Card,Yellow Cab,ATLANTA GA,18.9,609.5,267.624," 814,885 "," 24,701 ",January,2016,Friday,1,8,23.204338624338625
20,29558,Male,27,9555,10000398,Cash,Yellow Cab,ATLANTA GA,38.85,1430.64,545.454," 814,885 "," 24,701 ",January,2016,Saturday,53,2,25.432355212355212
21,27092,Male,32,9572,10000399,Cash,Yellow Cab,ATLANTA GA,18.81,618.15,243.7776," 814,885 "," 24,701 ",January,2016,Wednesday,1,6,22.91141945773525
22,29443,Male,46,2641,10000400,Cash,Yellow Cab,ATLANTA GA,17.1,556.7,227.772," 814,885 "," 24,701 ",January,2016,Thursday,1,7,22.937777777777775
23,28932,Male,40,21303,10000401,Card,Yellow Cab,ATLANTA GA,10.8,308.48,147.744," 814,885 "," 24,701 ",January,2016,Saturday,1,9,21.12148148148148
24,29559,Male,20,2571,10000402,Card,Yellow Cab,ATLANTA GA,21.8,709.85,287.76," 814,885 "," 24,701 ",January,2016,Saturday,53,2,22.880963302752292
25,27749,Male,19,13576,10000403,Card,Yellow Cab,ATLANTA GA,23.31,701.6,321.678," 814,885 "," 24,701 ",January,2016,Thursday,1,7,21.94933504933505
26,29675,Male,27,22560,10000404,Card,Yellow Cab,ATLANTA GA,18.9,732.91,263.088," 814,885 "," 24,701 ",January,2016,Sunday,53,3,26.349153439153444
27,29159,Male,35,23267,10000405,Card,Yellow Cab,ATLANTA GA,40.95,1157.08,530.712," 814,885 "," 24,701 ",January,2016,Wednesday,1,6,20.607960927960924
28,28115,Male,62,12759,10000406,Card,Yellow Cab,ATLANTA GA,11.88,361.22,151.1136," 814,885 "," 24,701 ",January,2016,Wednesday,1,6,21.562861952861955
29,28137,Male,36,10164,10000407,Card,Yellow Cab,ATLANTA GA,25.65,756.27,366.282," 814,885 "," 24,701 ",January,2016,Monday,2,11,21.882105263157893
30,29274,Male,50,3585,10001388,Card,Pink Cab,ATLANTA GA,41.44,511.74,472.416," 814,885 "," 24,701 ",January,2016,Thursday,2,14,11.874469111969113
31,29587,Male,28,16515,10001389,Card,Pink Cab,ATLANTA GA,26.6,355.93,305.9," 814,885 "," 24,701 ",January,2016,Sunday,1,10,12.440413533834585
